pred,label1,label1_occurrence,label2,label2_occurrence,label3,label3_occurrence,label1_full,label2_full,label3_full,index,Unnamed: 11
140,aranh,100.0,hom,82.4,mulh,17.6,aranha,homem,,"Mano, eu sonhei que eu era o Homem-Aranha .",
250,ganh,100.0,gent,5.9,lind,5.9,ganhava,,,Sonhei que ganhava o arco cinco estrelas do Venti.,
0,grav,100.0,menin,8.0,sonh,6.8,gravida,,,Sonhei que estava grávida (desterrado seja).,
98,ganh,100.0,gent,6.4,aniversari,4.3,ganhado,,,Sonhei que tinha ganhado um minisode2.,
397,p,100.0,namor,71.4,acord,14.3,p,,,Sonhei que estava beijando o P.A.,
203,conhec,100.0,pesso,9.4,fal,8.1,conhecia,,,"Eu sonhei que conhecia a Joelma, acordei no pulo.",
655,cort,100.0,quer,13.0,acho,8.7,cortava,,,Sonhei que cortava meus pulsos.,
297,carr,100.0,acident,10.3,compr,10.3,carro,,,Sonhei que meus amigos vinham de carro me ver.,
181,agu,100.0,beb,22.9,sed,10.4,agua,bebendo,sede,Sonhei que estava bebendo água e acordei com sede.,
168,the,100.0,namor,18.6,faz,11.6,the,namorado,,Sonhei que o The Weeknd era meu namorado de novo.,
1,morr,100.0,acident,9.1,assalt,9.1,morrendo,,,Sonhei que eu estava morrendo.,
400,fest,100.0,faz,13.6,aniversari,12.3,festa,,,Até em sonho eu tenho espírito de pobre, sonhei que fui a uma festa e saí de lá com duas sacolas enormes de doces e salgadinhos.
109,seri,100.0,gent,11.3,b,7.5,serio,,,"Sonhei que tinha abraçado a Tini, sério, não queria acordar.",
375,drog,100.0,algu,14.3,aparec,14.3,droga,,,Dormi até agora e sonhei que usava muita droga?,
225,beij,100.0,quer,71.0,menin,12.9,beijando,,,Sonhei que estava beijando esse garoto.,
586,peg,100.0,amig,6.5,fog,6.5,pegava,,,Sonhei que pegava um Mucilon.,
622,par,100.0,put,23.2,grav,8.5,pariu,puta,,Sonhei que meu pai tinha morrido. Puta que pariu.,
192,roub,100.0,celul,13.0,carr,7.2,roubava,,,Sonhei que uma amiga minha roubava meu gato.,
103,famil,100.0,trist,26.3,apresent,15.8,familia,,apresentei,Sonhei que a apresentei para a minha família.,
55,afog,100.0,morr,85.7,arthur,14.3,afogada,morrendo,,Sonhei que estava morrendo afogada. Que horror.,
211,dinheir,100.0,ganh,34.8,cont,21.7,dinheiro,,,Eu sonhei que várias pessoas me deviam dinheiro.,
42,feit,100.0,tatuag,100.0,faz,13.3,feito,tatuagem,,Sonhei que eu tinha feito uma tatuagem linda.,
127,namor,100.0,menin,4.8,car,3.5,namorava,,,"Gente, eu sonhei que namorava e acordei chorando.",
88,grav,100.0,livr,100.0,menin,12.5,gravida,livre,,Sonhei que estava grávida de novo. Deus me livre.,
278,comec,100.0,chor,71.4,gent,11.9,comecado,,,Sonhei que eu tinha começado a ver Kin Porsche.,
136,grav,100.0,aparec,1.1,gent,1.1,gravida,,,Sonhei que eu estava grávida.,
302,jimin,100.0,aparec,77.8,instagr,22.2,jimin,,,Sonhei... Sonhei que estava abraçando o Jimin.,
605,quebr,100.0,com,7.0,celul,5.6,quebrou,,,Sonhei que caiu e quebrou a TV.,
377,tatu,100.0,quer,11.8,bund,5.9,tatuando,quero,,"Sonhei que estava tatuando, agora quero tatuar.",
558,mud,100.0,cabel,8.6,ia,8.6,mudava,,,Sonhei que me mudava.,
649,beb,100.0,grav,13.3,menin,11.5,bebe,,,Essa semana sonhei que tinha tido uma bebê.,
431,casament,100.0,ped,38.9,namor,16.7,casamento,,,"Sonhei que estava gordo, é sinal de casamento, né?!",
155,fic,100.0,ia,8.9,pesso,7.6,ficava,,,Sonhei que a gente ficava. Meu Deus do céu.,
315,noiv,100.0,cas,43.5,casament,26.1,noiva,,,Sonhei que estava noiva . Meu sonho.,
465,luan,100.0,show,100.0,chor,37.5,luan,show,,Sonhei que estava em um show particular do Luan.,
133,piercing,100.0,coloc,25.0,perd,16.7,piercing,,,"Sonhei que tinha piercing na língua, agora quero lançar.",
3,gol,100.0,faz,37.7,jog,19.7,gol,,,Sonhei que estava narrando um gol e acordei tossindo.,
127,namor,100.0,menin,4.8,car,3.5,namorando,,,Eu sonhei que meus amigos estavam namorando . Muito bom.,
499,show,100.0,faz,11.2,chor,6.1,show,,,Sonhei que estava em um show do Gazetto.,
220,ouv,100.0,album,16.7,music,12.5,ouvidos,,,Sonhei que fiquei surda dos dois ouvidos.,
4,lanc,100.0,music,23.2,ia,12.2,lancavam,,,Sonhei que as Chaennie lançavam uma subunidade.,
241,pra,100.0,caramb,23.2,ia,7.3,praia,,,Sonhei que estava na praia e paguei peitinho.,
227,pra,100.0,ia,13.3,amig,6.7,praia,,,Sonhei que estava na praia.,
5,cri,100.0,cont,11.4,algu,9.1,criava,,,Sonhei que criava um Pit Bull.,
437,fal,100.0,pesso,11.8,fic,10.3,falei,,,"Eu não falei, mas... eu sonhei que era ele...",
136,grav,100.0,aparec,1.1,gent,1.1,gravida,,,Sonhei que eu estava grávida.,
432,feit,100.0,fic,10.3,faz,7.7,feito,,,Sonhei que tinha feito um delineado incrível.,
252,conhec,100.0,jao,100.0,chor,22.2,conheci,jao,,"Sonhei que conheci o Jão, meu dia já começou feliz!",
320,neym,100.0,namor,11.8,bairr,5.9,neymar,,,Eu sonhei que Neymar era meu primo .,
302,jimin,100.0,aparec,77.8,instagr,22.2,jimin,aparecia,,Acabei de lembrar que hoje sonhei que o Jimin aparecia.,
294,cabel,100.0,rasp,100.0,nov,15.8,cabelo,raspei,,Sonhei que raspei meu cabelo de raiva do frio .,
567,compr,100.0,faz,7.1,ia,6.7,comprava,,,Sonhei que comprava o mocassim da Prada.,
347,amig,100.0,cas,10.2,faz,9.1,amiga,,,E eu que sonhei que tinha talaricado uma amiga.,
351,iphon,100.0,ganh,59.3,trez,18.5,iphone,ganhava,,Sonhei que eu ganhava um iPhone de aniversário.,
7,churrasc,100.0,lul,22.2,beb,11.1,churrasco,,,"Sonhei que estava no churrasco e, infelizmente, acordei.",
250,ganh,100.0,gent,5.9,lind,5.9,ganhei,,,Sonhei que ganhei uma guia de Oxalá.,
501,bas,100.0,fum,100.0,mosc,20.0,baseado,fumando,moscou,Eu sonhei que estava em Moscou fumando um baseado.,
148,namor,100.0,nov,100.0,aaron,0.0,namorava,novo,,Sonhei que eu namorava de novo.,
373,fum,100.0,cigarr,10.9,bas,7.3,fumando,,,Sonhei que estava fumando narguilé e acordei com abstinência.,
316,lev,100.0,tir,17.7,car,13.9,levava,,,Eu sonhei que Trickster levava o primeiro win.,
304,adot,100.0,crianc,100.0,cachorr,11.1,adotava,criancas,,Sonhei que adotava três crianças e acordei chorando.,
197,brig,100.0,amig,10.7,gent,9.9,brigando,,,Sonhei que estava brigando por comida.,
571,sobrinh,100.0,grav,20.0,amig,13.3,sobrinha,,,Sonhei que era sobrinha do Jaebeom?,
434,viaj,100.0,ia,13.2,amig,9.2,viajando,,,Sonhei que estava viajando para o Maranhão.,
90,saudad,100.0,nov,9.9,volt,9.0,saudades,,,"Eu sonhei que estava em Chapecó hoje, que saudades.",
492,pai,100.0,menin,66.7,lind,22.2,pai,,,Sonhei que eu era pai.,
197,brig,100.0,amig,10.7,gent,9.9,brigava,,,Sonhei que eu brigava com a presidente do PT.,
457,sal,100.0,menin,28.6,dorm,14.3,sala,,,Esses dias sonhei que tinha vários elementais na minha sala.,
460,nasc,100.0,filh,25.8,grav,14.5,nascido,,,Sonhei que minha irmãzinha tinha nascido. Julinha ❤️,
340,beij,100.0,menin,100.0,amig,10.0,beijei,menina,,"Hoje sonhei que beijei aquela menina, meu Deus, acordei triste.",
248,,100.0,aaron,0.0,abacat,0.0,,,,Sonhei que estava  com ele.,
235,tom,100.0,banh,8.3,holland,6.4,tomando,,,Sonhei que estava tomando um vinhozinho com ela.,
314,pedrinh,85.7,mc,71.4,faz,28.6,pedrinho,mc,fazia,Sonhei que a Camila fazia parceria com MC Pedrinho.,
444,vir,100.0,amig,10.4,gent,7.5,virava,,,Sonhei que eu virava mulher de presidiário.,
648,disney,100.0,gent,9.5,ter,9.5,disney,,,Sonhei que eu tinha ido para a Disney.,
